nohup: 忽略输入
33
len of feats dict: 428
*************************
the start epoch is: 0
model_pkls_name: pkls_densenet121_net11_6_150
make succ: /mnt/520/lijingyu/lijingyu/zlw/BenignOrMaligantDiagnosis/deep_model/densenet121_net11_6/
------------------------- * -------------------------
train Loss:0.1335 Acc:0.5514
------------------------- * -------------------------
train Loss:0.1255 Acc:0.6121
------------------------- * -------------------------
train Loss:0.1211 Acc:0.6542
------------------------- * -------------------------
train Loss:0.1229 Acc:0.6425
------------------------- * -------------------------
train Loss:0.1157 Acc:0.6495
------------------------- * -------------------------
train Loss:0.1121 Acc:0.6986
------------------------- * -------------------------
train Loss:0.1107 Acc:0.7220
------------------------- * -------------------------
train Loss:0.1006 Acc:0.7593
------------------------- * -------------------------
train Loss:0.0910 Acc:0.7804
------------------------- * -------------------------
train Loss:0.0920 Acc:0.7850
------------------------- * -------------------------
train Loss:0.0771 Acc:0.8201
------------------------- * -------------------------
train Loss:0.0893 Acc:0.7780
------------------------- * -------------------------
train Loss:0.0717 Acc:0.8505
------------------------- * -------------------------
train Loss:0.0616 Acc:0.8505
------------------------- * -------------------------
train Loss:0.0582 Acc:0.8808
------------------------- * -------------------------
train Loss:0.0613 Acc:0.8738
------------------------- * -------------------------
train Loss:0.0531 Acc:0.8972
------------------------- * -------------------------
train Loss:0.0405 Acc:0.9136
------------------------- * -------------------------
train Loss:0.0486 Acc:0.9065
------------------------- * -------------------------
train Loss:0.0391 Acc:0.9299
------------------------- * -------------------------
train Loss:0.0411 Acc:0.9252
------------------------- * -------------------------
train Loss:0.0401 Acc:0.9229
------------------------- * -------------------------
train Loss:0.0255 Acc:0.9509
------------------------- * -------------------------
train Loss:0.0385 Acc:0.9182
------------------------- * -------------------------
train Loss:0.0511 Acc:0.8902
------------------------- * -------------------------
train Loss:0.0337 Acc:0.9369
------------------------- * -------------------------
train Loss:0.0271 Acc:0.9463
------------------------- * -------------------------
train Loss:0.0345 Acc:0.9322
------------------------- * -------------------------
train Loss:0.0273 Acc:0.9416
------------------------- * -------------------------
train Loss:0.0292 Acc:0.9463
------------------------- * -------------------------
train Loss:0.0353 Acc:0.9346
------------------------- * -------------------------
train Loss:0.0329 Acc:0.9416
------------------------- * -------------------------
train Loss:0.0219 Acc:0.9650
------------------------- * -------------------------
train Loss:0.0270 Acc:0.9509
------------------------- * -------------------------
train Loss:0.0288 Acc:0.9369
------------------------- * -------------------------
train Loss:0.0210 Acc:0.9626
------------------------- * -------------------------
train Loss:0.0202 Acc:0.9720
------------------------- * -------------------------
train Loss:0.0224 Acc:0.9556
------------------------- * -------------------------
train Loss:0.0375 Acc:0.9416
------------------------- * -------------------------
train Loss:0.0202 Acc:0.9603
------------------------- * -------------------------
train Loss:0.0176 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0249 Acc:0.9509
------------------------- * -------------------------
train Loss:0.0190 Acc:0.9743
------------------------- * -------------------------
train Loss:0.0139 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0268 Acc:0.9509
------------------------- * -------------------------
train Loss:0.0317 Acc:0.9299
------------------------- * -------------------------
train Loss:0.0211 Acc:0.9626
------------------------- * -------------------------
train Loss:0.0118 Acc:0.9790
------------------------- * -------------------------
train Loss:0.0118 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0317 Acc:0.9556
------------------------- * -------------------------
train Loss:0.0253 Acc:0.9416
------------------------- * -------------------------
train Loss:0.0138 Acc:0.9790
------------------------- * -------------------------
train Loss:0.0081 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0242 Acc:0.9603
------------------------- * -------------------------
train Loss:0.0229 Acc:0.9579
------------------------- * -------------------------
train Loss:0.0233 Acc:0.9556
------------------------- * -------------------------
train Loss:0.0201 Acc:0.9673
------------------------- * -------------------------
train Loss:0.0202 Acc:0.9673
------------------------- * -------------------------
train Loss:0.0259 Acc:0.9533
------------------------- * -------------------------
train Loss:0.0149 Acc:0.9673
------------------------- * -------------------------
train Loss:0.0071 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0132 Acc:0.9743
------------------------- * -------------------------
train Loss:0.0067 Acc:0.9883
